shard,i,relwidth_M,relwidth_a_star,relwidth_eps_f,relwidth_eps_Q,relwidth_log10_A_bounce,relwidth_log10_dt_bounce_s,relwidth_D_L,relwidth_i
50,20,0.03662848478303796,0.17702596093573283,0.2605314217545868,0.08655235245417242,0.11610246145054563,0.28887256391750027,0.16821063595160637,0.26222605409898814
50,21,0.08847880481809783,0.13430762394245388,0.23210482135912244,0.20902662249682089,0.0015189768625577227,0.00012224065353151693,0.1501791569169968,0.2532651527959412
50,22,0.024255477338095927,0.1938080735118052,0.2517544855044062,0.21019310221027296,0.00017119862137830166,3.7686331918286867e-06,0.16968172390708824,0.25112206387232194
50,23,0.0001089858708797905,6.5815626187978074e-12,0.00011758149612093948,2.456506478085037e-09,3.31548101550239e-06,6.495568774110227e-12,0.0004746357228542428,0.004667769600194245
50,24,0.07084871857994135,0.06484409543319689,0.20945449985382403,0.19509639769357476,0.00636471880090706,1.0778705056022272e-05,0.14165209113945898,0.2784521659222015
75,0,0.023862956859520824,0.2516758732968923,0.26107995189067784,0.27627362142329615,0.1351026677678343,0.2816216779223592,0.16199926933513473,0.21923618027717087
75,1,9.983011768180846e-10,6.416040351787828e-12,1.0490123412984262e-09,1.692167789902338e-09,2.9255912114071607e-06,9.019813001201204e-12,0.0005925648425248497,0.0054176260765857335
75,2,0.00011211311779779021,2.0243291020844996e-11,0.0001209423780587331,8.209333903673496e-09,6.104300507288585e-06,2.37218448819757e-11,0.00043207865271135395,0.004554560462731004
75,3,0.045784603255249245,0.021561377578030304,0.11387824277847416,0.07879572378395559,2.6746901943690793e-05,7.138183298318082e-07,0.12874672289015163,0.28602401206256833
75,4,1.461097339857178e-08,1.301753250975832e-10,1.527399996275195e-08,3.331208036097274e-08,1.3150228427586343e-05,1.8250627942945323e-10,0.00043456552273429946,0.0046369767230632465
75,5,2.7527123738768616e-09,1.9689577211031872e-11,2.9036748619701894e-09,6.1068914730473536e-09,5.374090671391238e-06,3.17058957347778e-11,0.00033539248671613756,0.0039046561556789275
75,6,4.459992527630202e-06,3.6062782516998114e-12,4.8143984929811285e-06,1.2045031548133066e-09,2.461314082778901e-06,3.6242979311260587e-12,0.0003268984773027768,0.004172948069910611
75,7,0.007191915798877688,0.10187990326799187,0.13570420173910666,0.2259967266502248,0.0003910266589169254,7.575162116457981e-07,0.15288739966904255,0.20804817207904444
75,8,0.0001119503176757216,9.905895473273399e-12,0.00012075929277517799,3.6126858194717503e-09,4.114165801188017e-06,1.120873712675164e-11,0.0003464961562345394,0.003908543459781934
